name,quadrant,ring,isNew,description,
GCP,Services,Adopt,FALSE,<p>The main cloud provider we're using to host almost everything (for other stuff there's AWS)</p>,"# The order of the entries is important: rings are displayed in the order of the _ring_ entries, so the first occurencies"
GCP GKE,Services,Adopt,FALSE,"<p>Hosting all Kubernetes projects, aside from Cawemo-related ones</p>","# of the _ring_ entries should be the following: Adopt, Trial, Assess, Hold"
GCP CloudSQL,Services,Adopt,FALSE,"<p>Hosting various databases, e.g. for Optimize or internal apps</p>",
GCP Storage,Services,Adopt,FALSE,"<p>Used by a href=""https://downloads.camunda.cloud"">Download Center</a> to store artifacts</p>",
GitHub,Services,Adopt,FALSE,,
AWS,Services,Adopt,FALSE,"<p>Used to host Cawemo (SaaS), various databases (e.g. Aurora), and Aurora Jenkins job runners</p>",
AWS S3,Services,Adopt,FALSE,,
AWS EC2,Services,Adopt,FALSE,<p>Cawemo clusters are defined with kops -> Terraform -> machines in EC2</p>,
AWS RDS,Services,Adopt,FALSE,"<p>Hosting various databases, e.g. Cawemo stage and prod, Aurora MySQL and Postgres for running CamBPM integration tests</p>",
AWS ECS,Services,Adopt,TRUE,<p>Used to run CamBPM Jenkins jobs running integration tests against Aurora databases</p>,
AWS Lambda,Services,Adopt,FALSE,"<p>Used by Cawemo for the <a href=""https://github.com/cawemo/app-thumbnail"">thumbnail generator</a></p>",
GCP Data Studio,Services,Trial,TRUE,"<p>Building <a href=""https://confluence.camunda.com/display/SRE/Spending+Reports"">spending reports</a> for GKE clusters.</p>",
GCP Big Query,Services,Trial,TRUE,"<p>Storing GKE usage data for camunda-ci cluster, used for <a href=""https://confluence.camunda.com/display/SRE/Spending+Reports"">spending reports</a></p>",
Terraform Cloud,Services,Assess,TRUE,"<p><a href=""https://www.terraform.io/docs/cloud/index.html"">GitOps</a> for Terraform</p>",
AWS EKS,Services,Assess,TRUE,<p>Can be a replacement for kops-defined k8s Cawemo clusters if the clusters stay in AWS.</p>,
Vault,Infrastructure Components,Adopt,FALSE,,
Jenkins,Infrastructure Components,Adopt,FALSE,,
ArgoCD,Infrastructure Components,Adopt,FALSE,"<p><a href=""https://argoproj.github.io/argo-cd/"">GitOps</a> for Kubernetes cluster manifests.</p>",
Nexus,Infrastructure Components,Adopt,FALSE,,
Harbor,Infrastructure Components,Adopt,TRUE,"<p>A Docker regsitry for Camunda images: <a href=""https://registry.camunda.cloud"">registry.camunda.cloud</a></p>",
Download Center,Infrastructure Components,Adopt,TRUE,"<p><a href=""https://downloads.camunda.cloud"">Download center</a> for Camunda products. <a href=""https://github.com/camunda-internal/camunda-downloads"">repository</a></p>",
Nginx,Infrastructure Components,Adopt,FALSE,"<p>We're using nginx-ingress as a reverse proxy for our k8s clusters, performing TLS termination and wrapping up authentication.</p>",
OpenLDAP,Infrastructure Components,Adopt,FALSE,<p>We host an LDAP replica of the main LDAP instance maintained by IT.</p>,
Prometheus,Infrastructure Components,Adopt,FALSE,,
Alert Manager,Infrastructure Components,Adopt,FALSE,,
Grafana,Infrastructure Components,Adopt,FALSE,,
Vouch,Infrastructure Components,Adopt,TRUE,"<p><a href=""https://github.com/vouch/vouch-proxy"">Vouch</a> is a SSO proxy for Nginx used by us to authenticate requests by Okta</a></p>",
Cert-manager,Infrastructure Components,Adopt,FALSE,"<p>Automated provisioning of TLS certificates for k8s clusters: <a href=""https://github.com/jetstack/cert-manager"">cert-manager</a></p>",
Gitlab CI/CD,Infrastructure Components,Assess,TRUE,"<p>Potential tool to enrich CI/CD offering to the other teams, which is currently limited by Jenkins</p>",
GitHub Actions,Infrastructure Components,Assess,TRUE,"<p>Potential tool to enrich CI/CD offering to the other teams, which is currently limited by Jenkins</p>",
Helm,Infrastructure Components,Hold,FALSE,"<p>We've completely replaced Helm charts with Kustomize.<br/>However, sometimes Helm charts are used as an upstream base for Kustomize projects.</p>",
Python,Languages & Frameworks,Adopt,FALSE,,
Golang,Languages & Frameworks,Assess,FALSE,"<p>Currently, only used in <a href=""https://github.com/camunda-ci/camunda-ci-dashboard"">broken dashboard</a>",
Shell,Languages & Frameworks,Adopt,FALSE,,
Groovy,Languages & Frameworks,Adopt,FALSE,"<p>Groovy is used to define Jenkins jobs and pipelines. Example: <a href=""https://github.com/camunda-ci/jenkins-job-dsl-seed-jobs"">jenkins-job-dsl-seed-jobs</a>, <a href=""https://github.com/camunda-ci/jenkins-global-shared-library"">jenkins-global-shared-library</a></p>",
Kubernetes,Languages & Frameworks,Adopt,FALSE,"<p>We're using k8s to host a wide range of applications, mainly our CI/CD tooling (Jenkins), internal apps, SaaS environments of Cawemo</p>",
Terraform,Languages & Frameworks,Adopt,FALSE,"<p>Used to define infrastructure as code, example: <a href=""https://github.com/camunda-internal/gcloud-infrastructure"">gcloud-infrastructure</a> project.",
Javascript,Languages & Frameworks,Adopt,TRUE,"<p>Used by the <a href=""https://downloads.camunda.cloud"">Download center</a> for Camunda products. <a href=""https://github.com/camunda-internal/camunda-downloads"">repository</a>",
Node.js,Languages & Frameworks,Adopt,TRUE,"<p>Used by the <a href=""https://downloads.camunda.cloud"">Download center</a> for Camunda products. <a href=""https://github.com/camunda-internal/camunda-downloads"">repository</a>",
Pylint,Tools,Adopt,TRUE,,
yamllint,Tools,Adopt,TRUE,,
